"key","es","en"
"axis_tca","TCA (Ton/Acre)","TCA (Ton/Acre)"
"soil_good","BUENO","GOOD"
"soil_rocky","ROCOSO","ROCKY"
"soil_poor_drain","MAL_DRENADO","POOR_DRAIN"
"stage_st1","ST1","ST1"
"stage_st2","ST2","ST2"
"stage_st3","ST3","ST3"
"stage_st4","ST4","ST4"
"stage_st5","ST5","ST5"
"decision_select","S","S"
"decision_witness","T","W"
"decision_reject","R","R"
"cat_elite","Perfil Élite","Elite Profile"
"cat_heavy","Pesada","Heavy"
"cat_sweet","Dulce","Sweet"
"cat_deficient","Deficiente","Deficient"
"cat_balanced","Equilibrada","Balanced"
"cat_industrial","Industrial","Industrial"
"cat_commercial","Comercial","Commercial"
"cat_precommercial","Pre-comercial","Pre-commercial"
"cat_new","Nueva","New"
"home_title","Central Romana Corporation","Central Romana Corporation"
"home_subtitle","Sistema Avanzado de Mejoramiento Genético","Advanced Breeding System"
"home_desc","Plataforma integral para planificación de cruzamientos, gestión de campo y analítica clonal.","Comprehensive platform for crossing planning, field management, and clonal analytics."
"home_kpi_cat","Variedades en Catálogo","Varieties in Catalog"
"home_kpi_flores","Parientes en KM 14","Relatives at KM 14"
"home_kpi_cruces","Cruces Planificados","Planned Crosses"
"home_kpi_st1","Clones en Campo (ST1)","Clones in Field (ST1)"
"home_shortcuts","Accesos Rápidos","Quick Access"
"home_btn_cross","Planificar Cruzamientos","Plan Crosses"
"home_btn_flower","Programa de Cartuchos","Flowering Program"
"home_btn_analytics","Captura y Analítica ST","ST Capture & Analytics"
"home_status_title","Estado del Sistema","System Status"
"home_status_db","Base de datos conectada: ","Connected database: "
"home_status_api","API de sincronización móvil en línea","Mobile sync API online"
"home_status_ebv","Modelos genéticos EBV cargados","EBV genetic models loaded"
"sel_evf_title","Evaluación de Familias (EVF)","Families Evaluation (EVF)"
"lbl_harvest_year","Año Zafra (Colecta):","Harvest Year:"
"lbl_cross_year","Año Cruce:","Cross Year:"
"btn_upload_families_excel","Cargar Excel de Familias","Upload Families Excel"
"btn_preselect","Pre-seleccionar","Pre-select"
"btn_confirm_selection","Confirmar Selección","Confirm Selection"
"lbl_sel_year","Año Sel:","Sel Year:"
"lbl_cross_year_short","Año Cru:","Cross Year:"
"lbl_soil","Suelo:","Soil:"
"btn_view_field_data","Ver Datos de Campo (API)","View Field Data (API)"
"sel_manual_upload","⚙️ Carga Manual / Excel (Admin)","⚙️ Manual Upload / Excel (Admin)"
"btn_upload_field_excel","Subir Excel de Campo","Upload Field Excel"
"btn_confirm_manual","Confirmar Carga Manual","Confirm Manual Upload"
"sel_promoted_candidates","Candidatos Promocionados desde","Candidates Promoted from"
"sel_excel_preview","Vista Previa del Excel de Campo","Field Excel Preview"
"lbl_selection_year","Año de Selección:","Selection Year:"
"lbl_experiment","Experimento:","Experiment:"
"lbl_division","División:","Division:"
"btn_update_analytics","Actualizar Analítica","Update Analytics"
"btn_download_variety_data","Descargar Datos de Variedades","Download Variety Data"
"btn_download_list","Descargar Lista","Download List"
"chart_isoproductivity"," Curvas de Isoproductividad (Arrastre para Zoom y Doble Clic para Alejar)"," Isoproductivity Curves (Drag to Zoom, Double Click to Zoom Out)"
"lbl_gradient_palette","Paleta de Gradiente:","Gradient Palette:"
"lbl_base_control","Testigo Base:","Base Control:"
"lbl_contours","Contornos:","Contours:"
"lbl_thermal_fill","Relleno Térmico","Thermal Fill"
"chart_brix_distribution"," Distribución de Brix / Calidad (Selección vs Testigos vs Rechazo)"," Brix / Quality Distribution (Selection vs Controls vs Rejection)"
"chart_top_families"," Top 10 Cruces / Familias con Más Selecciones"," Top 10 Crosses / Families with Most Selections"
"sel_variety_analytics","Analítica de Variedades","Variety Analytics"
"sel_cut_list","Lista de Corte / Selección (Material Seleccionado)","Cut List / Selection (Selected Material)"
"tab_register_sync","Registro y Sincronización","Registry and Synchronization"
"tab_variety_study","Estudio de Variedades","Variety Study"
"tab_analytics_cutlist","Analítica y Lista de Corte","Analytics and Cut List"
"sel_pipeline_mgmt","Gestión del Pipeline de Selección","Selection Pipeline Management"
"tab_field_capture_app","Captura de Campo (App)","Field Capture (App)"
"sel_filters_actions","Filtros y Acciones","Filters and Actions"
"btn_update_table","Actualizar Tabla","Update Table"
